Баренцев Соломка рыбная подкопченная;46;3;5;231
Баренцев Сомуль солёно-сушёный;65.8;1.2;0;274
Баренцев Ставридка золотистая подкопченная;48;8;0;264
Баренцев Ставридка серебристая солёно-сушёная;48;8;0;264
Баренцев Тунец солёно-сушёный;57.8;0.3;0;234
Баренцев Чиксы рыбка с перцем;50.7;8.6;0;280
Бастурма турецкая;14.8;20.1;0;240
Батон Нарезной;7.5;2.9;50.9;264
Батон Подмосковный;7.5;2.6;50.6;261
Батон с пшеничными отрубями;9.2;2.8;51.4;273
Батон Столичный;7.7;0.8;50.2;243
Батончик Corny Big злаковый с бананом и шоколадом;6.1;15.2;65.6;424
Батончик Corny Big злаковый с клюквой;5.9;7.4;71.4;377
Батончик Corny Big злаковый с лесными орехами;6.4;15.6;63.2;419
Батончик Corny Big злаковый с шоколадом;7;17;62.9;433
Батончик мюсли Ego с бананом в шоколаде;5;13.5;68;416
Батончик мюсли Ego с вишней в йогурте;6;14;56;416
Батончик мюсли Ego с клубникой в йогурте;4;14.5;67.5;418
Батончик мюсли Ego с лесными ягодами в йогурте;4;13.5;69.5;418
Батончик мюсли Ego с черникой в йогурте;5.5;14;67.5;420
Батончик Пульсар с миндалем в шоколадной глазури;6.3;13.9;58.8;385
Бекон;23;45;0;500
Белая фасоль в томатном соусе;5.4;0.3;20.3;106
Белая фасоль консервированная;6.7;0.3;17.4;99
Белая фасоль Пикантная в томатном соусе;5.5;3;19;125
Белуга бланшированная;23.3;15.6;0;234
Белуга свежая;21;0.7;0;147
Белуга сушеная;69.9;5.3;0;327
Белые жареные;4.6;11.5;10.7;162
Белые маринованные;3;0.5;2;24
Белые свежие;3.7;1.7;3.4;30
Белые сушёные;23.4;6.4;31;282
Белый Амур;18.6;5.3;0;134
Березовый сок;0.1;0;5.8;24
Бефстроганов;21.9;27.4;5.7;355
Бисквитник медовый с вареной сгущенкой;5.3;19.6;46.1;378
Бисквитник с начинкой маракуйя;3.9;17.2;51.5;375
Бисквитник шоколадный с шоколадной начинкой;4.3;18.3;48.5;378
Бифштекс;27.8;29.6;1.7;384
Блин с ветчиной;8.9;13.5;33.9;292
Блин с ветчиной и сыром;14.3;20.2;35.3;382
Блин с грибами;6.7;9.9;21;218
Блин с красной икрой;12.7;15.2;33.7;324
Блин с маслом;8;15.2;40.6;332
Блин с мёдом;7.2;13.5;50.4;350
Блин с сёмгой;11.2;14.9;33.8;313
Блин с сыром;11.4;18.3;34.3;348
Блин со сгущенным молоком;8.1;12.4;41.7;324
Блин со сметаной;7.1;16.3;34.3;311
Бобы;6;0.1;8.5;57
Бобы зелёные;6;0.1;10.5;60
Большой завтрак;30;30;62;640
Борщ летний;1.1;2.1;6.4;49
Борщ сибирский;1.9;1.5;6.8;48
Борщ украинский;1.1;2.2;6.7;49
Боярышник;0;0;14;52
Бразильский орех;14.3;66.4;4.8;656
Бренди;0;0;0.5;225
Брокколи замороженная;2.7;0.1;4.9;23
Брусника;0.7;0.5;9.6;43
Брусника мочёная;0.3;0.2;5.3;24
Брюква;1.2;0.1;8.9;34
Брюква запечённая;2.1;1.6;7.5;51
Брюква тушеная;1.2;8.5;8.6;114
Брюссельская капуста замороженная;4;0.5;8;31
Бублик;16;1;70;336
Бублик Украинский;8.3;6.4;58.2;328
Бублик Ярмарочный;8.5;7;58.3;330
Буженина вареная;16.4;18.3;1;233
Бузинный сок;1.1;0.2;5.1;27
Буйволятина;19;13.2;0;194
Буйволятина вареная;30;17.4;0;276
Буйволятина жареная;33.4;23.2;0;342
Буйволятина тушеная;24.4;16.9;0;250
Булочка к чаю;7.2;6.2;51;317
Булочка Калорийная;7.3;9.6;62.4;363
Булочка отрубная;7.8;1.8;43.9;220
Булочка Столичная;8.4;2.2;52.8;270
Булочки 8 злаков;13.9;5.3;43.7;277
Булочки Бутербродные с кунжутом;9.6;4.2;59.5;320
Бульон говяжий;0.6;0.2;0;4
Бульон грибной;0.5;0.1;0;3
Бульон куриный;2;0.5;0.3;15
Бульон куриный крепкий домашний;2.5;1.2;3.5;36
Бульон куриный постный;0.1;0;0;1
Бульон рыбный;0.4;0;0;2
Бутанику кадзукири;3.2;5.1;24.2;156
Бутанику рёри;16.6;22.2;3.4;280
Ванилин;0.1;0.1;12.7;288
Вареники Хвалынские с картошкой и грибами;6;3.6;32;184
Варенье из абрикосов;0;0;62;236
Варенье из айвы;0.4;0.2;70.6;273
Варенье из вишни;0;0;64;256
Варенье из груши;0.3;0.2;70.8;273
Варенье из клубники;0.3;0.1;74;285
Варенье из малины;0.6;0.2;70.4;273
Варенье из мандаринов;0.7;0.2;75.9;294
Варенье из персиков;0.5;0;66.8;258
Варенье из рябины черноплодной;0.4;0;74.8;387
Варенье из сливы;0.4;0.3;74.2;288
Варенье из чёрной смородины;0.6;0.1;72.9;284
Варенье из яблок;0.4;0.3;68.2;265
Васаби игай-яки;4.5;8;11.5;136
Ватрушка с творожной начинкой;10;12.1;46.1;331
Вафли венские с карамелью;8.1;19.4;53.3;424
Вафли венские со взбитыми сливками;4.8;23.3;50.5;489
Вафли домашние с изюмом;7.9;21.7;55.8;452
Вафли домашние сахарные;8.2;23.1;54.4;459
Вафли с жирной начинкой;3.4;30.2;64.7;539
Вафли с фруктовой начинкой;3.2;2.8;80.9;350
Вафли Яшкино с карамельной начинкой;6;15.2;67.9;430
Верблюжатина;18.9;9.4;0;160
Верблюжатина вареная;29.8;12.4;0;230
Верблюжатина жареная;33.3;16.5;0;281
Верблюжатина тушеная;24.3;12.1;0;205
Вермишель Myllyn Paras;10.4;1.1;71.5;344
Вермут Cinzano Bianco белый;0;0;18;155
Вермут Cinzano Rose розовый;0;0;14.5;141
Вермут Martini Bianco белый;0;0;17;145
Вермут Martini Extra Dry сухой;0;0;2.5;110
Вермут Martini Rose розовый;0;0;16;140
Вермут Martini Rosso красный;0;0;15;138
Вермут Perlino Bianco белый;0;0;14;139
Вермут Perlino Rosso красный;0;0;14;139
Ветчина;14;24;0;270
Ветчина в форме;22.6;20.9;0;278
Ветчина из индейки обезжиренная;15;1;2;77
Ветчина Останкино нежная из индейки;10;10;5;154
Ветчина Останкино нежная из свиного окорока;8;13;3;166
Вешенки маринованные;1;1.5;0;23
Вешенки свежие;2.5;0.3;6.5;38
Винегрет овощной;6.3;18.8;15.9;218
Вино Asti Mondoro белое полусладкое игристое;0;0;9;78
Вино Riunite D'Oro белое полусладкое игристое;0;0;6;69
Вино Riunite Lambrusco Emilia красное полусладкое игристое;0;0;6;69
Вино Riunite Lambrusco Rose розовое полусладкое игристое;0;0;6;69
Вино белое десертное 16%;0.5;0;16;153
Вино белое Мускат;0;0;5;82
Вино белое Рислинг;0;0;4;80
Вино белое Совиньон;0;0;2;81
Вино белое столовое 11%;0.2;0;0.2;65
Вино белое сухое;0.1;0;0.6;66
Вино красное столовое 12%;0.3;0;0.2;71
Вино красное сухое;0.2;0;0.3;68
Виноград;0.6;0.2;16.8;65
Виноградные листья консервированные;4.3;2;11.7;69
Виноградные листья сырые;5.6;2.1;6.3;93
Виноградный компот;0.5;0;19.7;77
